220205 103839.296|CONFIG|AWT-EventQueue-0|setFileHandlers|Now logging to D:\pc2-9.7.0-6181\pc2-9.7.0\bin\logs directory.
220205 103839.296|INFO|AWT-EventQueue-0|info|
220205 103839.297|INFO|AWT-EventQueue-0|info|Version 9.7.0 20210317 (Wednesday, March 17th 2021 06:30 UTC) Java ver 1.8.0_311 build 6181 Windows 10 10.0 (amd64) 
220205 103839.297|INFO|AWT-EventQueue-0|info|Login: judge1 (aka judge1)
220205 103839.297|INFO|AWT-EventQueue-0|startLog|Working directory is D:\pc2-9.7.0-6181\pc2-9.7.0\bin
220205 103839.298|INFO|AWT-EventQueue-0|startLog|Process id is 7220@DESKTOP-A2FRFRN
220205 103839.299|INFO|AWT-EventQueue-0|info|Contacting server at localhost:50002 as JUDGE1 @ site 0
220205 103839.299|INFO|AWT-EventQueue-0|info|sendLoginRequest start - sending from JUDGE1 @ site 0
220205 103839.306|INFO|AWT-EventQueue-0|sendToLocalServer|Sending packet to server Packet[LOGIN_REQUEST] #1 JUDGE1 @ site 0 -> SERVER0 @ site 0
220205 103839.308|INFO|Thread-4|run|send(Serializable)
220205 103839.310|INFO|AWT-EventQueue-0|sendToLocalServer|Sent    packet to server Packet[LOGIN_REQUEST] #1 JUDGE1 @ site 0 -> SERVER0 @ site 0
220205 103839.310|INFO|AWT-EventQueue-0|info|sendLoginRequest end - packet sent.
220205 103839.344|INFO|Thread-1|receive|public void receive(SealedObject TransportPacket, ConnectionHandlerID connectionHandlerID)
220205 103839.353|INFO|Thread-5|info| receiveObject(S) start got Packet[LOGIN_FAILED] #10 SERVER0 @ site 1 -> JUDGE1 @ site 0
220205 103839.353|INFO|Thread-5|dumpPacket|Packet LOGIN_FAILED (Seq #10, o#10 ) recieveObject
220205 103839.354|INFO|Thread-5|dumpPacket|  From: SERVER0 @ site 1, oSERVER0 @ site 1 (DESKTOP-A2FRFRN @ 192.168.10.112) (Contest Id: Default--4957759304671347839)
220205 103839.354|INFO|Thread-5|dumpPacket|    To: JUDGE1 @ site 0
220205 103839.354|INFO|Thread-5|dumpPacket|   key: MESSAGE_STRING is: java.lang.String No such account
220205 103839.355|INFO|Thread-5|info|handlePacket start Packet[LOGIN_FAILED] #10 SERVER0 @ site 1 -> JUDGE1 @ site 0
220205 103839.355|INFO|Thread-5|dumpPacket|Packet LOGIN_FAILED (Seq #10, o#10 ) handlePacket
220205 103839.355|INFO|Thread-5|dumpPacket|  From: SERVER0 @ site 1, oSERVER0 @ site 1 (DESKTOP-A2FRFRN @ 192.168.10.112) (Contest Id: Default--4957759304671347839)
220205 103839.356|INFO|Thread-5|dumpPacket|    To: JUDGE1 @ site 0
220205 103839.356|INFO|Thread-5|dumpPacket|   key: MESSAGE_STRING is: java.lang.String No such account
220205 103841.397|INFO|Thread-5|info| receiveObject(S) end   got Packet[LOGIN_FAILED] #10 SERVER0 @ site 1 -> JUDGE1 @ site 0
